序号,设备编号,起始时间,结束时间,持续工作时间(s),工序编号,班组
1,精密灌装机1-1,00:03:20,01:33:20,5400,A1,1
2,自动化输送臂1-1,00:03:20,01:15:20,4320,A1,1
3,工业清洗机1-4,00:03:20,04:03:20,14400,E1,1
4,工业清洗机2-2,00:03:50,01:15:50,4320,B1,2
5,工业清洗机1-5,00:03:50,02:56:38,10368,C1,1
6,自动化输送臂1-2,00:03:50,02:56:38,10368,C1,1
7,工业清洗机2-4,00:05:40,02:29:40,8640,D1,2
8,精密灌装机2-2,01:15:50,08:45:50,27000,B2,2
9,自动化输送臂1-4,01:15:50,06:15:50,18000,B2,1
10,工业清洗机2-2,01:33:20,03:33:20,7200,A2,2
11,高速抛光机2-1,01:33:20,06:33:20,18000,A2,2
12,精密灌装机2-1,02:29:40,06:29:40,14400,D2,2
13,自动化输送臂2-2,02:29:40,05:09:40,9600,D2,2
14,精密灌装机2-5,02:56:38,05:00:04,7406,C2,2
15,精密灌装机1-3,04:03:20,05:46:12,6172,E2,1
16,精密灌装机1-5,05:00:04,06:48:04,6480,C3_R1,1
17,自动化输送臂1-2,05:00:04,06:26:28,5184,C3_R1,1
18,工业清洗机1-2,05:46:12,11:46:12,21600,E3,1
19,自动传感多功能机1-1,05:46:12,07:46:12,7200,E3,1
20,精密灌装机1-2,06:29:40,07:46:49,4629,D3,1
21,工业清洗机2-3,06:48:04,10:48:04,14400,C4_R1,2
22,高速抛光机1-1,06:48:04,10:08:04,12000,C4_R1,1
23,自动传感多功能机2-1,07:46:49,12:46:49,18000,D4,2
24,高速抛光机2-1,07:46:49,20:16:49,45000,D4,2
25,精密灌装机2-5,08:45:50,09:47:33,3703,B3,2
26,自动传感多功能机1-1,10:48:04,14:48:04,14400,C5_R1,1
27,自动传感多功能机2-1,13:00:24,16:36:24,12960,B4,2
28,高速抛光机1-1,13:00:24,16:00:24,10800,B4,1
29,精密灌装机1-4,14:48:04,16:36:04,6480,C3_R2,1
30,自动化输送臂2-3,14:48:04,16:14:28,5184,C3_R2,2
31,自动传感多功能机1-1,14:56:49,19:56:49,18000,A3,1
32,工业清洗机1-3,16:36:04,20:36:04,14400,C4_R2,1
33,高速抛光机1-1,16:36:04,19:56:04,12000,C4_R2,1
34,自动传感多功能机2-1,20:16:49,25:16:49,18000,D5,2
35,自动传感多功能机1-1,20:36:04,24:36:04,14400,C5_R2,1
36,精密灌装机1-5,24:36:04,26:24:04,6480,C3_R3,1
37,自动化输送臂1-3,24:36:04,26:02:28,5184,C3_R3,1
38,高速抛光机2-1,25:16:49,32:16:49,25200,D6,2
39,工业清洗机2-2,26:24:04,30:24:04,14400,C4_R3,2
40,高速抛光机1-1,26:24:04,29:44:04,12000,C4_R3,1
41,自动传感多功能机1-1,30:24:04,34:24:04,14400,C5_R3,1
